FID,Economy,Category,Sitename,Elevation_,Chronology,NPP
229,Mixed Econ,Anth, , , ,0
230,Mixed Econ,Anth, , ,Late,0
231,Mixed Econ,Anth, , , ,204
232,Mixed Econ,Anth, , , ,442
233,Mixed Econ,Anth, , , ,0
234,Mixed Econ,Anth, , ,Late,0
235,Mixed Econ,Anth, , ,Late,0
236,Mixed Econ,Anth, , , ,0
237,Mixed Econ,Anth, , , ,0
238,Mixed Econ,Anth, , ,Middle,0
239,Mixed Econ,Anth, , , ,0
240,Mixed Econ,Anth, , , ,124
241,Mixed Econ,Anth, , , ,173
242,Mixed Econ,Anth, , , ,0
243,Mixed Econ,Anth, , , ,124
244,Mixed Econ,Anth, , , ,124
