FID,Wet_Maxent,NPP,Economy,Category,Status,Sitename
371,1,493,Fishing/Foraging,Anth,Predict,
673,1,495,Fishing/Foraging,Anth,Predict,
390,1,499,Fishing/Foraging,Anth,Predict,
485,3,511,Non Anth,Non Anth,Predict,
722,1,511,Fishing/Foraging,Anth,Predict,
862,1,511,Pastoralist,Anth,Predict,
476,1,512,Fishing/Foraging,Anth,Predict,
9,1,516,Fishing/Foraging,Anth,Predict,
6,1,519,Fishing/Foraging,Anth,Predict,
610,1,522,Pastoralist,Anth,Predict,
697,1,528,Fishing/Foraging,Anth,Predict,
840,1,529,Fishing/Foraging,Anth,Predict,
400,4,533,Pastoralist,Anth,Predict,
823,1,540,Fishing/Foraging,Anth,Predict,
824,1,540,Fishing/Foraging,Anth,Predict,
378,4,545,Pastoralist,Anth,Predict,
678,1,565,Fishing/Foraging,Anth,Predict,
848,1,574,Mixed,Anth,Predict,
182,1,581,Fishing/Foraging,Anth,Predict,
542,1,583,Fishing/Foraging,Anth,Predict,
663,1,584,Fishing/Foraging,Anth,Predict,
240,1,587,Mixed,Anth,Predict,
316,1,601,Fishing/Foraging,Anth,Predict,
870,1,603,Mixed,Anth,Predict,
496,1,604,Fishing/Foraging,Anth,Predict,
337,1,605,Mixed,Anth,Predict,
7,1,610,Fishing/Foraging,Anth,Predict,
822,3,615,Non Anth,Non Anth,Predict,
559,3,616,Non Anth,Non Anth,Predict,
310,1,617,Fishing/Foraging,Anth,Predict,
314,3,617,Non Anth,Non Anth,Predict,
383,3,617,Non Anth,Non Anth,Predict,
402,3,617,Non Anth,Non Anth,Predict,
492,1,626,Fishing/Foraging,Anth,Predict,
486,1,632,Fishing/Foraging,Anth,Predict,
549,1,634,Fishing/Foraging,Anth,Predict,
830,1,642,Fishing/Foraging,Anth,Predict,
787,1,643,Fishing/Foraging,Anth,Predict,
233,1,644,Mixed,Anth,Predict,
16,1,645,Fishing/Foraging,Anth,Predict,
278,1,645,Pastoralist,Anth,Predict,
230,1,651,Fishing/Foraging,Anth,Predict,
871,1,658,Mixed,Anth,Predict,
477,3,672,Non Anth,Non Anth,Predict,
491,1,672,Fishing/Foraging,Anth,Predict,
683,1,675,Fishing/Foraging,Anth,Predict,
860,1,679,Mixed,Anth,Predict,
764,4,683,Pastoralist,Anth,Predict,
780,1,683,Fishing/Foraging,Anth,Predict,
236,1,686,Mixed,Anth,Predict,
317,1,691,Fishing/Foraging,Anth,Predict,
352,1,693,Fishing/Foraging,Anth,Predict,
13,1,694,Fishing/Foraging,Anth,Predict,
234,4,696,Mixed,Anth,Predict,
334,1,699,Fishing/Foraging,Anth,Predict,
849,1,699,Mixed,Anth,Predict,
527,1,706,Fishing/Foraging,Anth,Predict,
821,1,708,Fishing/Foraging,Anth,Predict,
381,1,712,Fishing/Foraging,Anth,Predict,
495,1,714,Fishing/Foraging,Anth,Predict,
503,1,717,Fishing/Foraging,Anth,Predict,
369,1,718,Mixed,Anth,Predict,
331,1,719,Fishing/Foraging,Anth,Predict,
339,1,725,Mixed,Anth,Predict,
659,1,728,Fishing/Foraging,Anth,Predict,
727,1,731,Fishing/Foraging,Anth,Predict,
308,1,732,Fishing/Foraging,Anth,Predict,
244,1,733,Pastoralist,Anth,Predict,
377,1,749,Fishing/Foraging,Anth,Predict,
305,1,752,Fishing/Foraging,Anth,Predict,
490,1,752,Fishing/Foraging,Anth,Predict,
904,1,757,Fishing/Foraging,Anth,Predict,
660,1,762,Fishing/Foraging,Anth,Predict,
650,1,765,Fishing/Foraging,Anth,Predict,
649,1,769,Fishing/Foraging,Anth,Predict,
855,1,772,Pastoralist,Anth,Predict,
1,3,773,Non Anth,Non Anth,Predict,
11,1,775,Fishing/Foraging,Anth,Predict,
338,1,777,Fishing/Foraging,Anth,Predict,
688,1,778,Fishing/Foraging,Anth,Predict,
348,1,790,Fishing/Foraging,Anth,Predict,
17,2,795,Mixed,Anth,Predict,
365,1,795,Fishing/Foraging,Anth,Predict,
641,1,800,Fishing/Foraging,Anth,Predict,
739,1,800,Fishing/Foraging,Anth,Predict,
399,4,807,Pastoralist,Anth,Predict,
845,3,810,Mixed,Anth,Predict,
46,1,821,Mixed,Anth,Predict,
0,3,824,Mixed,Anth,Predict,
556,1,825,Fishing/Foraging,Anth,Predict,
852,1,833,Mixed,Anth,Predict,
40,2,836,Non Anth,Non Anth,Predict,
483,1,836,Fishing/Foraging,Anth,Predict,
655,1,844,Fishing/Foraging,Anth,Predict,
326,1,848,Fishing/Foraging,Anth,Predict,
2,3,849,Non Anth,Non Anth,Predict,
186,1,849,Fishing/Foraging,Anth,Predict,
344,1,855,Mixed,Anth,Predict,
370,1,868,Fishing/Foraging,Anth,Predict,
373,3,868,Non Anth,Non Anth,Predict,
