FID,Wet_Maxent,NPP,Economy,Anthro
297,1,1520,Mixed,Anth
781,4,1521,Pastoralist,Anth
276,4,1522,Mixed,Anth
589,1,1522,Pastoralist,Anth
857,1,1525,Mixed,Anth
253,1,1531,Mixed,Anth
747,1,1532,Fishing/Foraging,Anth
784,4,1532,Pastoralist,Anth
540,4,1533,Pastoralist,Anth
524,1,1537,Mixed,Anth
36,4,1542,Mixed,Anth
865,4,1542,Pastoralist,Anth
699,2,1545,Pastoralist,Anth
728,4,1553,Pastoralist,Anth
452,3,1554,Pastoralist,Anth
629,1,1554,Pastoralist,Anth
710,4,1554,Pastoralist,Anth
47,4,1558,Mixed,Anth
753,4,1558,Pastoralist,Anth
907,1,1558,Fishing/Foraging,Anth
872,4,1563,Mixed,Anth
224,4,1566,Mixed,Anth
564,2,1570,Non Anth,Non Anth
675,4,1572,Pastoralist,Anth
360,2,1573,Non Anth,Non Anth
665,4,1573,Pastoralist,Anth
783,1,1574,Fishing/Foraging,Anth
489,1,1576,Fishing/Foraging,Anth
587,1,1576,Pastoralist,Anth
183,4,1577,Pastoralist,Anth
791,4,1578,Pastoralist,Anth
720,4,1579,Pastoralist,Anth
795,1,1581,Fishing/Foraging,Anth
742,4,1582,Pastoralist,Anth
74,4,1583,Mixed,Anth
529,2,1583,Non Anth,Non Anth
721,4,1583,Mixed,Anth
705,4,1594,Pastoralist,Anth
601,1,1597,Pastoralist,Anth
407,4,1598,Pastoralist,Anth
755,1,1598,Fishing/Foraging,Anth
21,1,1600,Mixed,Anth
66,4,1603,Mixed,Anth
866,4,1603,Pastoralist,Anth
702,2,1607,Pastoralist,Anth
88,4,1609,Mixed,Anth
541,4,1609,Pastoralist,Anth
568,4,1609,Pastoralist,Anth
707,4,1611,Pastoralist,Anth
53,2,1613,Mixed,Anth
792,4,1614,Pastoralist,Anth
809,1,1616,Pastoralist,Anth
677,4,1621,Mixed,Anth
762,4,1621,Pastoralist,Anth
150,1,1626,Mixed,Anth
252,2,1626,Mixed,Anth
414,4,1626,Pastoralist,Anth
750,2,1627,Pastoralist,Anth
149,2,1633,Mixed,Anth
285,2,1637,Mixed,Anth
719,4,1637,Pastoralist,Anth
347,4,1639,Pastoralist,Anth
868,2,1642,Pastoralist,Anth
219,1,1645,Mixed,Anth
850,2,1645,Pastoralist,Anth
511,4,1651,Mixed,Anth
147,2,1652,Mixed,Anth
374,4,1652,Pastoralist,Anth
773,4,1655,Pastoralist,Anth
749,4,1656,Pastoralist,Anth
222,3,1657,Non Anth,Non Anth
772,4,1659,Pastoralist,Anth
70,4,1660,Mixed,Anth
523,1,1661,Fishing/Foraging,Anth
225,4,1663,Mixed,Anth
294,1,1665,Mixed,Anth
890,2,1666,Pastoralist,Anth
900,2,1666,Pastoralist,Anth
746,4,1667,Pastoralist,Anth
385,1,1668,Fishing/Foraging,Anth
391,4,1668,Pastoralist,Anth
893,4,1673,Pastoralist,Anth
78,2,1677,Mixed,Anth
393,4,1677,Pastoralist,Anth
718,4,1678,Pastoralist,Anth
41,2,1684,Mixed,Anth
875,4,1684,Pastoralist,Anth
62,2,1687,Mixed,Anth
386,4,1689,Pastoralist,Anth
531,1,1689,Fishing/Foraging,Anth
793,4,1690,Pastoralist,Anth
706,4,1692,Pastoralist,Anth
266,2,1693,Mixed,Anth
668,4,1693,Pastoralist,Anth
140,2,1694,Mixed,Anth
376,3,1702,Non Anth,Non Anth
703,4,1704,Mixed,Anth
75,2,1708,Mixed,Anth
506,1,1712,Mixed,Anth
68,2,1715,Mixed,Anth
777,4,1717,Pastoralist,Anth
754,1,1724,Mixed,Anth
148,1,1728,Mixed,Anth
528,4,1735,Pastoralist,Anth
757,4,1737,Pastoralist,Anth
786,4,1737,Pastoralist,Anth
517,4,1740,Pastoralist,Anth
885,4,1743,Pastoralist,Anth
657,4,1747,Mixed,Anth
670,4,1748,Pastoralist,Anth
543,4,1758,Pastoralist,Anth
98,4,1763,Mixed,Anth
353,2,1766,Non Anth,Non Anth
512,1,1769,Mixed,Anth
731,4,1770,Pastoralist,Anth
501,4,1771,Pastoralist,Anth
891,2,1774,Pastoralist,Anth
899,2,1774,Pastoralist,Anth
622,1,1775,Pastoralist,Anth
771,1,1778,Fishing/Foraging,Anth
588,4,1779,Pastoralist,Anth
864,2,1783,Pastoralist,Anth
897,4,1784,Pastoralist,Anth
903,1,1785,Fishing/Foraging,Anth
905,1,1785,Fishing/Foraging,Anth
81,4,1788,Mixed,Anth
83,2,1788,Mixed,Anth
522,1,1792,Fishing/Foraging,Anth
292,1,1793,Mixed,Anth
87,2,1797,Mixed,Anth
22,2,1800,Mixed,Anth
169,4,1800,Mixed,Anth
613,1,1805,Pastoralist,Anth
729,4,1812,Pastoralist,Anth
740,4,1812,Pastoralist,Anth
350,2,1814,Non Anth,Non Anth
260,2,1815,Mixed,Anth
575,2,1816,Non Anth,Non Anth
421,4,1817,Pastoralist,Anth
500,4,1820,Mixed,Anth
57,2,1821,Mixed,Anth
513,1,1821,Mixed,Anth
96,2,1822,Mixed,Anth
516,2,1822,Non Anth,Non Anth
257,4,1833,Pastoralist,Anth
770,1,1835,Fishing/Foraging,Anth
736,4,1839,Pastoralist,Anth
333,4,1841,Pastoralist,Anth
874,2,1847,Pastoralist,Anth
23,2,1852,Mixed,Anth
42,2,1852,Mixed,Anth
744,1,1857,Mixed,Anth
192,4,1858,Pastoralist,Anth
734,4,1864,Mixed,Anth
65,4,1868,Mixed,Anth
86,4,1868,Mixed,Anth
283,2,1882,Mixed,Anth
624,4,1886,Pastoralist,Anth
84,4,1897,Mixed,Anth
212,4,1900,Mixed,Anth
76,2,1903,Mixed,Anth
619,1,1905,Fishing/Foraging,Anth
427,1,1908,Pastoralist,Anth
432,4,1916,Pastoralist,Anth
763,4,1917,Pastoralist,Anth
774,1,1917,Fishing/Foraging,Anth
785,1,1917,Fishing/Foraging,Anth
602,1,1918,Fishing/Foraging,Anth
395,2,1922,Non Anth,Non Anth
514,4,1924,Mixed,Anth
85,4,1930,Mixed,Anth
520,4,1931,Mixed,Anth
436,2,1934,Pastoralist,Anth
97,2,1941,Mixed,Anth
221,2,1945,Non Anth,Non Anth
732,1,1947,Mixed,Anth
846,4,1952,Mixed,Anth
215,1,1961,Fishing/Foraging,Anth
361,2,1961,Non Anth,Non Anth
430,2,1961,Pastoralist,Anth
271,2,1965,Mixed,Anth
332,2,1976,Non Anth,Non Anth
55,2,1980,Mixed,Anth
109,1,1981,Mixed,Anth
118,2,1985,Mixed,Anth
82,2,1993,Mixed,Anth
555,4,1993,Pastoralist,Anth
115,2,2005,Mixed,Anth
429,1,2008,Pastoralist,Anth
242,4,2009,Mixed,Anth
590,1,2009,Pastoralist,Anth
467,1,2015,Mixed,Anth
534,4,2016,Mixed,Anth
684,4,2016,Pastoralist,Anth
440,4,2019,Pastoralist,Anth
460,1,2021,Mixed,Anth
49,2,2024,Mixed,Anth
77,2,2024,Mixed,Anth
130,2,2024,Mixed,Anth
102,2,2025,Mixed,Anth
280,2,2025,Mixed,Anth
131,1,2026,Mixed,Anth
586,1,2028,Fishing/Foraging,Anth
461,4,2035,Mixed,Anth
462,1,2035,Mixed,Anth
254,1,2037,Mixed,Anth
759,3,2037,Non Anth,Non Anth
685,4,2038,Pastoralist,Anth
633,1,2046,Pastoralist,Anth
154,1,2048,Mixed,Anth
767,4,2052,Pastoralist,Anth
273,1,2058,Mixed,Anth
779,2,2059,Non Anth,Non Anth
95,1,2061,Mixed,Anth
246,1,2061,Mixed,Anth
126,4,2067,Mixed,Anth
141,1,2068,Mixed,Anth
274,4,2069,Mixed,Anth
265,4,2076,Mixed,Anth
145,1,2077,Mixed,Anth
146,1,2077,Mixed,Anth
112,2,2080,Mixed,Anth
113,2,2082,Mixed,Anth
701,4,2086,Mixed,Anth
121,4,2093,Mixed,Anth
258,2,2095,Mixed,Anth
284,1,2101,Mixed,Anth
295,1,2101,Mixed,Anth
94,2,2104,Mixed,Anth
92,1,2105,Mixed,Anth
788,2,2105,Non Anth,Non Anth
277,4,2113,Mixed,Anth
64,2,2116,Mixed,Anth
618,4,2120,Pastoralist,Anth
662,4,2120,Pastoralist,Anth
127,2,2127,Mixed,Anth
103,1,2129,Mixed,Anth
123,1,2131,Mixed,Anth
250,1,2133,Mixed,Anth
423,4,2136,Pastoralist,Anth
245,4,2151,Mixed,Anth
272,1,2153,Mixed,Anth
287,2,2154,Mixed,Anth
243,1,2155,Mixed,Anth
